Zip Code,City
61435,Gerlaw
61436,Gilson
61437,Gladstone
61438,Good Hope
61439,Henderson
61440,Industry
61441,Ipava
61442,Keithsburg
61443,Kewanee
61447,Kirkwood
61448,Knoxville
61449,La Fayette
61450,La Harpe
61451,Laura
61452,Littleton
61453,Little York
61454,Lomax
61455,Macomb
61458,Maquon
61459,Marietta
61460,Media
61462,Monmouth
61465,New Windsor
61466,North Henderson
61467,Oneida
61468,Ophiem
61469,Oquawka
61470,Prairie City
61471,Raritan
61472,Rio
61473,Roseville
61474,Saint Augustine
61475,Sciota
61476,Seaton
61477,Smithfield
61478,Smithshire
61479,Speer
61480,Stronghurst
61482,Table Grove
61483,Toulon
61484,Vermont
61485,Victoria
61486,Viola
61488,Wataga
61489,Williamsfield
61490,Woodhull
61491,Wyoming
61501,Astoria
61516,Benson
61517,Brimfield
61519,Bryant
61520,Canton
61523,Chillicothe
61524,Dunfermline
61525,Dunlap
61526,Edelstein
61528,Edwards
61529,Elmwood
61530,Eureka
61531,Farmington
61532,Forest City
61533,Glasford
61534,Green Valley
61535,Groveland
61536,Hanna City
61537,Henry
61539,Kingston Mines
61540,Lacon
61541,La Rose
61542,Lewistown
61543,Liverpool
61544,London Mills
61545,Lowpoint
61546,Manito
61547,Mapleton
61548,Metamora
61550,Morton
61552,Mossville
61553,Norris
61554,Pekin
61555,Pekin
61558,Pekin
61559,Princeville
61560,Putnam
61561,Roanoke
61562,Rome
61563,Saint David
61564,South Pekin
61565,Sparland
61567,Topeka
61568,Tremont
61569,Trivoli
61570,Washburn
61571,Washington
61572,Yates City
61601,Peoria
61602,Peoria
61603,Peoria
61604,Peoria
61605,Peoria
61606,Peoria
61607,Peoria
61610,Creve Coeur
61611,East Peoria
61612,Peoria
61613,Peoria
61614,Peoria
61615,Peoria
61616,Peoria Heights
61625,Peoria
61629,Peoria
61630,Peoria
61633,Peoria
61634,Peoria
61635,Peoria
61636,Peoria
61637,Peoria
61638,Peoria
61639,Peoria
61641,Peoria
61643,Peoria
61650,Peoria
61651,Peoria
61652,Peoria
61653,Peoria
61654,Peoria
61655,Peoria
61656,Peoria
61701,Bloomington
61702,Bloomington
61704,Bloomington
61709,Bloomington
61710,Bloomington
61720,Anchor
61721,Armington
61722,Arrowsmith
61723,Atlanta
61724,Bellflower
61725,Carlock
61726,Chenoa
61727,Clinton
61728,Colfax
61729,Congerville
61730,Cooksville
61731,Cropsey
61732,Danvers
61733,Deer Creek
61734,Delavan
61735,Dewitt
61736,Downs
61737,Ellsworth
61738,El Paso
61739,Fairbury
61740,Flanagan
61741,Forrest
61742,Goodfield
61743,Graymont
61744,Gridley
61745,Heyworth
61747,Hopedale
61748,Hudson
61749,Kenney
61750,Lane
61751,Lawndale
61752,Le Roy
61753,Lexington
61754,Mc Lean
61755,Mackinaw
61756,Maroa
61758,Merna
61759,Minier
61760,Minonk
61761,Normal
61764,Pontiac
61769,Saunemin
61770,Saybrook
61771,Secor
61772,Shirley
61773,Sibley
61774,Stanford
61775,Strawn
61776,Towanda
61777,Wapella
61778,Waynesville
61790,Normal
61791,Bloomington
61799,Bloomington
61801,Urbana
61802,Urbana
61803,Urbana
61810,Allerton
61811,Alvin
61812,Armstrong
61813,Bement
61814,Bismarck
61815,Bondville
61816,Broadlands
61817,Catlin
61818,Cerro Gordo
61820,Champaign
61821,Champaign
61822,Champaign
61824,Champaign
61825,Champaign
61826,Champaign
61830,Cisco
61831,Collison
61832,Danville
61833,Tilton
61834,Danville
61839,De Land
61840,Dewey
61841,Fairmount
61842,Farmer City
61843,Fisher
61844,Fithian
61845,Foosland
61846,Georgetown
61847,Gifford
61848,Henning
61849,Homer
61850,Indianola
61851,Ivesdale
61852,Longview
61853,Mahomet
61854,Mansfield
61855,Milmine
61856,Monticello
61857,Muncie
61858,Oakwood
61859,Ogden
61862,Penfield
61863,Pesotum
61864,Philo
61865,Potomac
61866,Rantoul
61870,Ridge Farm
61871,Royal
61872,Sadorus
61873,Saint Joseph
61874,Savoy
61875,Seymour
61876,Sidell
61877,Sidney
61878,Thomasboro
61880,Tolono
61882,Weldon
61883,Westville
61884,White Heath
61910,Arcola
61911,Arthur
61912,Ashmore
61913,Atwood
61914,Bethany
61917,Brocton
61919,Camargo
61920,Charleston
61924,Chrisman
61925,Dalton City
61928,Gays
61929,Hammond
61930,Hindsboro
61931,Humboldt
61932,Hume
61933,Kansas
61936,La Place
61937,Lovington
61938,Mattoon
61940,Metcalf
61941,Murdock
61942,Newman
61943,Oakland
61944,Paris
61949,Redmon
61951,Sullivan
61953,Tuscola
61955,Vermilion
61956,Villa Grove
61957,Windsor
62001,Alhambra
62002,Alton
62006,Batchtown
62009,Benld
62010,Bethalto
62011,Bingham
62012,Brighton
62013,Brussels
62014,Bunker Hill
62015,Butler
62016,Carrollton
62017,Coffeen
62018,Cottage Hills
62019,Donnellson
62021,Dorsey
62022,Dow
62023,Eagarville
62024,East Alton
62025,Edwardsville
62026,Edwardsville
62027,Eldred
62028,Elsah
62030,Fidelity
62031,Fieldon
62032,Fillmore
62033,Gillespie
62034,Glen Carbon
62035,Godfrey
62036,Golden Eagle
62037,Grafton
62040,Granite City
62044,Greenfield
62045,Hamburg
62046,Hamel
62047,Hardin
62048,Hartford
62049,Hillsboro
62050,Hillview
62051,Irving
62052,Jerseyville
62053,Kampsville
62054,Kane
62056,Litchfield
62058,Livingston
62059,Lovejoy
62060,Madison
62061,Marine
62062,Maryville
62063,Medora
62065,Michael
62067,Moro
62069,Mount Olive
62070,Mozier
62071,National Stock Yards
62074,New Douglas
62075,Nokomis
62076,Ohlman
62077,Panama
62078,Patterson
62079,Piasa
62080,Ramsey
62081,Rockbridge
62082,Roodhouse
62083,Rosamond
62084,Roxana
62085,Sawyerville
62086,Sorento
62087,South Roxana
62088,Staunton
62089,Taylor Springs
62090,Venice
62091,Walshville
62092,White Hall
62093,Wilsonville
62094,Witt
62095,Wood River
62097,Worden
62098,Wrights
62201,East Saint Louis
62202,East Saint Louis
62203,East Saint Louis
62204,East Saint Louis
62205,East Saint Louis
62206,East Saint Louis
62207,East Saint Louis
62208,Fairview Heights
62214,Addieville
62215,Albers
62216,Aviston
62217,Baldwin
62218,Bartelso
62219,Beckemeyer
62220,Belleville
62221,Belleville
62222,Belleville
62223,Belleville
62224,Mascoutah
62225,Scott Air Force Base
62226,Belleville
62230,Breese
62231,Carlyle
62232,Caseyville
62233,Chester
62234,Collinsville
62236,Columbia
62237,Coulterville
62238,Cutler
62239,Dupo
62240,East Carondelet
62241,Ellis Grove
62242,Evansville
62243,Freeburg
62244,Fults
62245,Germantown
62246,Greenville
62247,Hagarstown
62248,Hecker
62249,Highland
62250,Hoffman
62252,Huey
62253,Keyesport
62254,Lebanon
62255,Lenzburg
62256,Maeystown
62257,Marissa
62258,Mascoutah
62259,Menard
62260,Millstadt
62261,Modoc
62262,Mulberry Grove
62263,Nashville
62264,New Athens
62265,New Baden
62266,New Memphis
62268,Oakdale
62269,O Fallon
62271,Okawville
62272,Percy
62273,Pierron
62274,Pinckneyville
62275,Pocahontas
62277,Prairie Du Rocher
62278,Red Bud
62279,Renault
62280,Rockwood
62281,Saint Jacob
62282,Saint Libory
62284,Smithboro
62285,Smithton
62286,Sparta
62288,Steeleville
62289,Summerfield
62292,Tilden
62293,Trenton
62294,Troy
62295,Valmeyer
62297,Walsh
62298,Waterloo
62301,Quincy
62305,Quincy
62306,Quincy
62311,Augusta
62312,Barry
62313,Basco
62314,Baylis
62316,Bowen
62319,Camden
62320,Camp Point
62321,Carthage
62323,Chambersburg
62324,Clayton
62325,Coatsburg
62326,Colchester
62329,Colusa
62330,Dallas City
62334,Elvaston
62336,Ferris
62338,Fowler
62339,Golden
62340,Griggsville
62341,Hamilton
62343,Hull
62344,Huntsville
62345,Kinderhook
62346,La Prairie
62347,Liberty
62348,Lima
62349,Loraine
62351,Mendon
62352,Milton
62353,Mount Sterling
62354,Nauvoo
62355,Nebo
62356,New Canton
62357,New Salem
62358,Niota
62359,Paloma
62360,Payson
62361,Pearl
62362,Perry
62363,Pittsfield
62365,Plainville
62366,Pleasant Hill
62367,Plymouth
62370,Rockport
62373,Sutter
62374,Tennessee
62375,Timewell
62376,Ursa
62378,Versailles
62379,Warsaw
62380,West Point
62401,Effingham
62410,Allendale
62411,Altamont
62413,Annapolis
62414,Beecher City
62417,Bridgeport
62418,Brownstown
62419,Calhoun
62420,Casey
62421,Claremont
62422,Cowden
62423,Dennison
62424,Dieterich
62425,Dundas
62426,Edgewood
62427,Flat Rock
62428,Greenup
62431,Herrick
62432,Hidalgo
62433,Hutsonville
62434,Ingraham
62435,Janesville
62436,Jewett
62438,Lakewood
62439,Lawrenceville
62440,Lerna
62441,Marshall
62442,Martinsville
62443,Mason
62444,Mode
62445,Montrose
62446,Mount Erie
62447,Neoga
62448,Newton
62449,Oblong
62450,Olney
62451,Palestine
62452,Parkersburg
62454,Robinson
62458,Saint Elmo
62459,Sainte Marie
62460,Saint Francisville
62461,Shumway
62462,Sigel
62463,Stewardson
62464,Stoy
62465,Strasburg
62466,Sumner
62467,Teutopolis
62468,Toledo
62469,Trilla
62471,Vandalia
62473,Watson
62474,Westfield
62475,West Liberty
62476,West Salem
62477,West Union
62478,West York
62479,Wheeler
62480,Willow Hill
62481,Yale
62501,Argenta
62510,Assumption
62512,Beason
62513,Blue Mound
62514,Boody
62515,Buffalo
62517,Bulpitt
62518,Chestnut
62519,Cornland
62520,Dawson
62521,Decatur
62522,Decatur
62523,Decatur
62524,Decatur
62525,Decatur
62526,Decatur
62530,Divernon
62531,Edinburg
62532,Elwin
62533,Farmersville
62534,Findlay
62535,Forsyth
62536,Glenarm
62537,Harristown
62538,Harvel
62539,Illiopolis
62540,Kincaid
62541,Lake Fork
62543,Latham
62544,Macon
62545,Mechanicsburg
62546,Morrisonville
62547,Mount Auburn
62548,Mount Pulaski
62549,Mt Zion
62550,Moweaqua
62551,Niantic
62553,Oconee
62554,Oreana
62555,Owaneco
62556,Palmer
62557,Pana
62558,Pawnee
62560,Raymond
62561,Riverton
62563,Rochester
62565,Shelbyville
62567,Stonington
62568,Taylorville
62570,Tovey
62571,Tower Hill
62572,Waggoner
62573,Warrensburg
62601,Alexander
62610,Alsey
62611,Arenzville
62612,Ashland
62613,Athens
62615,Auburn
62617,Bath
62618,Beardstown
62621,Bluffs
62622,Bluff Springs
62624,Browning
62625,Cantrall
62626,Carlinville
62627,Chandlerville
62628,Chapin
62629,Chatham
62630,Chesterfield
62631,Concord
62633,Easton
62634,Elkhart
62635,Emden
62638,Franklin
62639,Frederick
62640,Girard
62642,Greenview
62643,Hartsburg
62644,Havana
62649,Hettick
62650,Jacksonville
62651,Jacksonville
62655,Kilbourne
62656,Lincoln
62659,Lincolns New Salem
62660,Literberry
62661,Loami
62662,Lowder
62663,Manchester
62664,Mason City
62665,Meredosia
62666,Middletown
62667,Modesto
62668,Murrayville
62670,New Berlin
62671,New Holland
62672,Nilwood
62673,Oakford
62674,Palmyra
62675,Petersburg
62677,Pleasant Plains
62681,Rushville
62682,San Jose
62683,Scottville
62684,Sherman
62685,Shipman
62688,Tallula
62689,Thayer
62690,Virden
62691,Virginia
62692,Waverly
62693,Williamsville
62694,Winchester
62695,Woodson
62701,Springfield
62702,Springfield
62703,Springfield
62704,Springfield
62705,Springfield
62706,Springfield
62707,Springfield
62708,Springfield
62711,Springfield
62712,Springfield
62713,Springfield
62715,Springfield
62716,Springfield
62719,Springfield
62721,Springfield
62722,Springfield
62723,Springfield
62726,Springfield
62736,Springfield
62739,Springfield
62746,Springfield
62756,Springfield
62757,Springfield
62761,Springfield
62762,Springfield
62763,Springfield
62764,Springfield
62765,Springfield
62766,Springfield
62767,Springfield
62769,Springfield
62776,Springfield
62777,Springfield
62781,Springfield
62786,Springfield
62791,Springfield
62794,Springfield
62796,Springfield
62801,Centralia
62803,Hoyleton
62805,Akin
62806,Albion
62807,Alma
62808,Ashley
62809,Barnhill
62810,Belle Rive
62811,Bellmont
62812,Benton
62814,Bluford
62815,Bone Gap
62816,Bonnie
62817,Broughton
62818,Browns
62819,Buckner
62820,Burnt Prairie
62821,Carmi
62822,Christopher
62823,Cisne
62824,Clay City
62825,Coello
62827,Crossville
62828,Dahlgren
62829,Dale
62830,Dix
62831,Du Bois
62832,Du Quoin
62833,Ellery
62834,Emma
62835,Enfield
62836,Ewing
62837,Fairfield
62838,Farina
62839,Flora
62840,Frankfort Heights
62841,Freeman Spur
62842,Geff
62843,Golden Gate
62844,Grayville
62846,Ina
62848,Irvington
62849,Iuka
62850,Johnsonville
62851,Keenes
62852,Keensburg
62853,Kell
62854,Kinmundy
62855,Lancaster
62856,Logan
62857,Loogootee
62858,Louisville
62859,Mc Leansboro
62860,Macedonia
62861,Maunie
62862,Mill Shoals
62863,Mount Carmel
62864,Mount Vernon
62865,Mulkeytown
62866,Nason
62867,New Haven
62868,Noble
62869,Norris City
62870,Odin
62871,Omaha
62872,Opdyke
62874,Orient
62875,Patoka
62876,Radom
62877,Richview
62878,Rinard
62879,Sailor Springs
62880,Saint Peter
62881,Salem
62882,Sandoval
62883,Scheller
62884,Sesser
62885,Shobonier
62886,Sims
62887,Springerton
62888,Tamaroa
62889,Texico
62890,Thompsonville
62891,Valier
62892,Vernon
62893,Walnut Hill
62894,Waltonville
62895,Wayne City
62896,West Frankfort
62897,Whittington
62898,Woodlawn
62899,Xenia
62901,Carbondale
62902,Carbondale
62903,Carbondale
62905,Alto Pass
62906,Anna
62907,Ava
62908,Belknap
62909,Boles
62910,Brookport
62912,Buncombe
62914,Cairo
62915,Cambria
62916,Campbell Hill
62917,Carrier Mills
62918,Carterville
62919,Cave In Rock
62920,Cobden
62921,Colp
62922,Creal Springs
62923,Cypress
62924,De Soto
62926,Dongola
62927,Dowell
62928,Eddyville
62930,Eldorado
62931,Elizabethtown
62932,Elkville
62933,Energy
62934,Equality
62935,Galatia
62938,Golconda
62939,Goreville
62940,Gorham
62941,Grand Chain
62942,Grand Tower
62943,Grantsburg
62946,Harrisburg
62947,Herod
62948,Herrin
62949,Hurst
62950,Jacob
62951,Johnston City
62952,Jonesboro
62953,Joppa
62954,Junction
62955,Karbers Ridge
62956,Karnak
62957,Mc Clure
62958,Makanda
62959,Marion
62960,Metropolis
62961,Millcreek
62962,Miller City
62963,Mound City
62964,Mounds
62965,Muddy
62966,Murphysboro
62967,New Burnside
62969,Olive Branch
62970,Olmsted
62971,Oraville
62972,Ozark
62973,Perks
62974,Pittsburg
62975,Pomona
62976,Pulaski
62977,Raleigh
62979,Ridgway
62982,Rosiclare
62983,Royalton
62984,Shawneetown
62985,Simpson
62987,Stonefort
62988,Tamms
62990,Thebes
62992,Ullin
62993,Unity
62994,Vergennes
62995,Vienna
62996,Villa Ridge
62997,Willisville
62998,Wolf Lake
62999,Zeigler
